         4267112 function calls (4191631 primitive calls) in 99.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6667    0.009    0.000    0.074    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:133(check_shape)
     4287    0.009    0.000    0.016    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:1972(rotate)
    71371    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
     5760    0.009    0.000    0.038    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/path.py:347(iter_segments)
     4389    0.009    0.000    0.042    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_data/_anon_task_stats.py:62(__add__)
    17901    0.009    0.000    0.013    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:1769(__init__)
     4330    0.009    0.000    0.191    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:270(_handle_task_progress)
     3658    0.009    0.000    0.109    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/multiprocessing/util.py:205(__call__)
    21868    0.009    0.000    0.009    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:546(<genexpr>)
     4982    0.009    0.000    0.009    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:179(set_children)
    88046    0.008    0.000    0.008    0.000 {method 'items' of 'dict' objects}
       89    0.008    0.000    0.008    0.000 {built-in method posix.rmdir}
     7328    0.008    0.000    0.008    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
       89    0.008    0.000   98.118    1.102 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/shuffle_all_cxs/optimize_cx_list.py:63(objective_logical_error_rate)
     5279    0.008    0.000    0.012    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
     2680    0.008    0.000    0.094    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:555(__init__)
    33410    0.008    0.000    0.008    0.000 {built-in method builtins.min}
     5381    0.008    0.000    0.011    0.000 /opt/homebrew/Cellar/python@3.11/3.11.5/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py:1118(_wait_for_tstate_lock)
     3834    0.008    0.000    0.008    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/cbook.py:1791(<dictcomp>)
     1725    0.008    0.000    0.016    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/artist.py:179(__init__)
     4963    0.008    0.000    0.086    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:1472(transform)
    17997    0.008    0.000    0.008    0.000 {built-in method _abc._abc_instancecheck}
   115416    0.008    0.000    0.008    0.000 {method 'get' of 'dict' objects}
     3005    0.008    0.000    0.008    0.000 {method 'copy' of 'dict' objects}
        9    0.008    0.001    0.008    0.001 {built-in method matplotlib.backends._backend_agg.draw_path_collection}
    40678    0.007    0.000    0.007    0.000 {method 'add' of 'set' objects}
9916/9911    0.007    0.000    0.022    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/transforms.py:1848(transform_affine)
    42700    0.007    0.000    0.007    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/sinter/_collection/_collection_manager.py:443(<lambda>)
    17845    0.007    0.000    0.009    0.000 /Users/pderks/Documents/ldpc_optimization/ldpc_optimization/.venv/lib/python3.11/site-packages/matplotlib/_api/__init__.py:100(check_in_list)
